station,parameter,ref,value,quality,name,latitude,longitude,updated,parameter_name,parameter_summary,parameter_unit
98230,19,2024-09-06,14.6,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
97400,19,2024-09-06,9.2,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
97530,19,2024-09-06,8.5,Y,Uppsala Flygplats,59.9,17.593,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
96350,19,2024-09-06,12.5,Y,Västerås,59.6166,16.55,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
71420,19,2024-09-06,16.0,Y,Göteborg A,57.7,11.97,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
52350,19,2024-09-06,18.4,Y,Malmö A,55.6049,12.9843,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
140480,19,2024-09-06,9.2,Y,Umeå Flygplats,63.7947,20.2918,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
180940,19,2024-09-06,4.3,Y,Kiruna Flygplats,67.827,20.3387,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
162860,19,2024-09-06,11.7,Y,Luleå-Kallax Flygplats,65.543,22.124,2024-09-07 10:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
98230,20,2024-09-06,24.6,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
97400,20,2024-09-06,23.9,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
97530,20,2024-09-06,26.4,Y,Uppsala Flygplats,59.9,17.593,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
96350,20,2024-09-06,26.1,Y,Västerås,59.6166,16.55,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
71420,20,2024-09-06,27.7,Y,Göteborg A,57.7,11.97,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
52350,20,2024-09-06,26.6,Y,Malmö A,55.6049,12.9843,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
140480,20,2024-09-06,22.7,Y,Umeå Flygplats,63.7947,20.2918,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
180940,20,2024-09-06,20.1,Y,Kiruna Flygplats,67.827,20.3387,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
162860,20,2024-09-06,21.8,Y,Luleå-Kallax Flygplats,65.543,22.124,2024-09-07 10:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
98230,2,2024-09-06,19.1,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
97400,2,2024-09-06,17.0,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
97530,2,2024-09-06,17.4,Y,Uppsala Flygplats,59.9,17.593,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
96350,2,2024-09-06,18.7,Y,Västerås,59.6166,16.55,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
71420,2,2024-09-06,22.0,Y,Göteborg A,57.7,11.97,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
52350,2,2024-09-06,21.8,Y,Malmö A,55.6049,12.9843,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
140480,2,2024-09-06,15.9,Y,Umeå Flygplats,63.7947,20.2918,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
180940,2,2024-09-06,14.1,Y,Kiruna Flygplats,67.827,20.3387,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
162860,2,2024-09-06,17.1,Y,Luleå-Kallax Flygplats,65.543,22.124,2024-09-07 10:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
98230,5,2024-09-06,0.0,G,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-07 10:00:00,Nederbördsmängd,"summa 1 dygn, 1 gång/dygn, kl 06",millimeter
97400,5,,,,,,,,,,
97530,5,2024-09-06,0.0,G,Uppsala Flygplats,59.9,17.593,2024-09-07 10:00:00,Nederbördsmängd,"summa 1 dygn, 1 gång/dygn, kl 06",millimeter
96350,5,2024-09-06,0.0,Y,Västerås,59.6166,16.55,2024-09-07 10:00:00,Nederbördsmängd,"summa 1 dygn, 1 gång/dygn, kl 06",millimeter
